City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Humberto De Campos,BR,-2.5983,-43.4611,88.9,53,86,10.89,overcast clouds
228,Cabildo,AR,-38.4842,-61.8954,66.24,26,82,26.04,broken clouds
229,Fort Nelson,CA,58.8053,-122.7002,26.19,93,90,0.0,fog
230,Knysna,ZA,-34.0363,23.0471,59.38,82,66,10.04,light rain
231,Bretten,DE,49.0392,8.7028,48.54,76,43,4.03,scattered clouds
232,Avarua,CK,-21.2078,-159.775,69.85,68,20,5.75,light rain
233,Chuy,UY,-33.6971,-53.4616,60.42,79,100,3.91,moderate rain
234,Bethel,US,41.3712,-73.414,58.82,60,90,6.91,overcast clouds
235,Rocha,UY,-34.4833,-54.3333,60.3,77,100,2.44,moderate rain
236,Lompoc,US,34.6391,-120.4579,67.08,65,1,9.22,clear sky
237,Miles City,US,46.4083,-105.8406,52.52,81,90,14.97,overcast clouds
238,Concepcion Del Oro,MX,24.6333,-101.4167,67.96,44,0,3.31,clear sky
239,Port Lincoln,AU,-34.7333,135.8667,53.44,78,4,10.18,clear sky
240,Iranshahr,IR,27.2025,60.6848,75.54,12,0,6.91,clear sky
241,Vardo,NO,70.3705,31.1107,33.33,78,99,16.28,light snow
242,Skibbereen,IE,51.55,-9.2667,55.2,95,100,26.35,overcast clouds
243,Kangaba,ML,11.9333,-8.4167,83.57,62,85,0.83,overcast clouds
244,Bertoua,CM,4.5833,13.6833,69.55,96,78,3.42,light rain
245,Leningradskiy,RU,69.3833,178.4167,9.28,88,100,8.72,overcast clouds
246,Kawalu,ID,-7.3817,108.2082,73.49,95,91,0.63,overcast clouds
247,Sioux Lookout,CA,50.1001,-91.917,39.27,75,75,9.22,broken clouds
248,Charagua,BO,-19.8,-63.2167,103.57,15,22,10.6,few clouds
249,Beloha,MG,-25.1667,45.05,72.01,78,11,6.15,few clouds
250,Rosarito,MX,32.3333,-117.0333,64.42,71,100,9.22,overcast clouds
251,Kijang,KR,35.2442,129.2139,49.73,61,12,4.56,few clouds
252,Oksfjord,NO,70.2396,22.3479,32.92,97,100,9.04,snow
253,Gifhorn,DE,52.4833,10.55,48.52,83,90,4.61,overcast clouds
254,Duku,NG,11.2361,4.9073,80.71,67,98,8.16,light rain
255,Hiriyur,IN,13.9456,76.6192,70.84,94,100,10.6,overcast clouds
256,Berlevag,NO,70.8578,29.0864,35.69,64,100,20.29,overcast clouds
257,Yantal,RU,56.8471,105.2542,30.65,92,98,5.03,overcast clouds
258,Nelson Bay,AU,-32.7167,152.15,65.95,97,42,13.73,scattered clouds
259,Kutum,SD,14.2,24.6667,81.77,19,10,15.26,clear sky
260,Prince Rupert,CA,54.3161,-130.3201,46.09,76,100,23.02,light rain
261,Wilkie,CA,52.4168,-108.7014,35.98,80,100,21.14,overcast clouds
262,Trelew,AR,-43.249,-65.3051,64.98,10,5,11.14,clear sky
263,San Quintin,MX,30.4833,-115.95,68.47,68,38,16.33,scattered clouds
264,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,38,20,32.21,few clouds
265,Geraldton,AU,-28.7667,114.6,55.81,94,0,5.75,clear sky
266,Beringovskiy,RU,63.05,179.3167,10.81,77,25,10.38,scattered clouds
267,Helong,CN,42.5397,128.9972,35.33,69,0,5.17,clear sky
268,Banda Aceh,ID,5.5577,95.3222,79.57,81,96,3.24,overcast clouds
269,Tiksi,RU,71.6872,128.8694,-2.22,100,98,4.81,overcast clouds
270,Jieshi,CN,22.8134,115.8257,66.94,75,84,9.08,broken clouds
271,Ust-Omchug,RU,61.15,149.6333,3.69,97,99,4.94,overcast clouds
272,Ahuimanu,US,21.4447,-157.8378,77.77,72,40,9.22,scattered clouds
273,Thenzawl,IN,23.3167,92.75,62.08,90,25,2.3,scattered clouds
274,Waverly,US,42.7392,-84.6208,54.1,63,75,10.36,broken clouds
275,East London,ZA,-33.0153,27.9116,63.54,59,0,24.16,clear sky
276,Biak,ID,-0.9131,122.8766,75.88,78,95,4.03,overcast clouds
277,Rawicz,PL,51.6095,16.8585,43.54,76,27,9.04,scattered clouds
278,Margate,GB,51.3813,1.3862,55.11,74,59,12.3,broken clouds
279,Saint-Pierre,RE,-21.3393,55.4781,74.88,84,0,2.3,clear sky
280,Manbij,SY,36.5281,37.9549,59.77,31,0,11.03,clear sky
281,Cayenne,GF,4.9333,-52.3333,81.09,85,90,3.0,moderate rain
282,Vanimo,PG,-2.6741,141.3028,76.89,89,72,6.22,broken clouds
283,Tangshan,CN,39.6333,118.1833,47.17,59,0,3.96,clear sky
284,Aquin,HT,18.2833,-73.4,84.87,64,49,9.31,scattered clouds
285,Bilibino,RU,68.0546,166.4372,-5.33,100,100,0.67,overcast clouds
286,Yenagoa,NG,4.9247,6.2642,73.08,97,100,3.36,overcast clouds
287,Arroio Grande,BR,-32.2375,-53.0869,60.28,94,100,5.64,moderate rain
288,Kaitangata,NZ,-46.2817,169.8464,50.4,90,100,3.51,overcast clouds
